description,price,rating,review_count,url
"Philips Norelco Genuine SH71/52 Shaving Heads compatible with Norelco Shaver Series 5000 Angular and 7000 , Latest Version for Refreshed RQ12/70, RQ12/60, SH60/70, and SH70/70",34,4.6 out of 5 stars,"1,181",https://www.amazon.com/Philips-Norelco-Shaving-Shaver-Angular-Shaped/dp/B08G2QNZH1/ref=sr_1_62?keywords=Philips&qid=1701064584&sr=8-62
"Philips Hue White and Color Ambiance Starter Kit, Includes (3) 75W A19 Hue Smart Bulbs with 1 Hue Bridge and 1 Hue Smart Button, Works with Amazon Alexa, Apple HomeKit and Google Assistant",125,4.6 out of 5 stars,509,https://www.amazon.com/Philips-Hue-Starter-Compatible-Assistant/dp/B095KQSXYH/ref=sr_1_63?keywords=Philips&qid=1701064584&sr=8-63
"Philip Norelco OneBlade Pro Kit, Hybrid Electric Trimmer and Shaver with Charging Stand and Precision Comb, QP6550+ OneBlade Body Kit, 3 pieces, QP610, Black 4.0 Count",109,4.5 out of 5 stars,203,https://www.amazon.com/Philip-OneBlade-Electric-Charging-Precision/dp/B08HM9M1QR/ref=sr_1_64?keywords=Philips&qid=1701064584&sr=8-64
"Philips Sonicare ProtectiveClean 5300 Rechargeable Electric Power Toothbrush, Black, HX6423/34",59,4.6 out of 5 stars,"14,168",https://www.amazon.com/Philips-Sonicare-ProtectiveClean-Rechargeable-HX6423/dp/B084TM4XKG/ref=sr_1_65?keywords=Philips&qid=1701064584&sr=8-65
"Philips Norelco Genuine SH91/52 Replacement Shaving Heads Compatible with Norelco Shaver Series S9000 and 9000 Prestige, Latest Version for Refreshed SH90/70, SH98/70, and SH98/80",64,4.6 out of 5 stars,325,https://www.amazon.com/Philips-Norelco-Replacement-SH91-52/dp/B09DHRZL51/ref=sr_1_67?keywords=Philips&qid=1701064584&sr=8-67
"Philips Norelco Cleaning Cartridges for SmartClean System, 2 Count, JC302/52",13,4.7 out of 5 stars,"5,144",https://www.amazon.com/Philips-Norelco-SmartClean-Cartridge-2-ct/dp/B00M1E548G/ref=sr_1_68?keywords=Philips&qid=1701064584&sr=8-68
"Philips Norelco Nose Trimmer 5000, For Nose, Ears, Eyebrows, Black and Silver, NT5600/42",17,4.3 out of 5 stars,"25,650",https://www.amazon.com/Philips-Norelco-Nosetrimmer-NT5600-42/dp/B0842Y842F/ref=sr_1_69?keywords=Philips&qid=1701064584&sr=8-69
"Philips Sonicare Genuine W3 Premium White Replacement Toothbrush Heads, 4 Brush Heads, Black, HX9064/95",32,4.8 out of 5 stars,"1,581",https://www.amazon.com/Philips-Sonicare-replacement-toothbrush-HX9064/dp/B078BC1GSX/ref=sr_1_70?keywords=Philips&qid=1701064584&sr=8-70
"PHILIPS Sonicare Electric Toothbrush with DiamondClean Brush Head 2-Pack Bundle, Rechargeable Electric Tooth Brush with Pressure Sensor, Sonic Electronic Toothbrush, Travel Case, Black & White",149,4.6 out of 5 stars,606,https://www.amazon.com/PHILIPS-Toothbrush-DiamondClean-Rechargeable-Electronic/dp/B0CB1QK732/ref=sr_1_71?keywords=Philips&qid=1701064584&sr=8-71
"PHILIPS Sonicare 1100 Power Toothbrush, Rechargeable Electric Toothbrush, White Grey HX3641/02",19,4.6 out of 5 stars,"4,256",https://www.amazon.com/Philips-Sonicare-Toothbrush-Rechargeable-HX3641/dp/B09LD8VXLX/ref=sr_1_72?keywords=Philips&qid=1701064584&sr=8-72
"PHILIPS Sonicare 9000 Special Edition Rechargeable Toothbrush, Blue/Black, HX9911/92",179,4.5 out of 5 stars,237,https://www.amazon.com/Philips-Sonicare-Diamondclean-Rechargeable-Toothbrush/dp/B0B5VQHL6N/ref=sr_1_73?keywords=Philips&qid=1701064584&sr=8-73
"Philips Hue Smart 75W A19 LED Bulb - White and Color Ambiance Color-Changing Light - 1 Pack - 1100LM - E26 - Indoor - Control with Hue App - Works with Alexa, Google Assistant and Apple Homekit",32,4.7 out of 5 stars,902,https://www.amazon.com/Philips-Hue-Bluetooth-Compatible-Assistant/dp/B095KSHGYW/ref=sr_1_74?keywords=Philips&qid=1701064584&sr=8-74
"Philips Norelco Beard Trimmer and Hair Clipper Series 5500, Electric, Cordless, one Pass Beard Trimmer and Hair Clipper with Washable Feature for Easy Clean - No Blade Oil Needed - BT5511/49",39,4.5 out of 5 stars,"3,400",https://www.amazon.com/Philips-Norelco-BT5511-49-electric/dp/B07L4JWWTM/ref=sr_1_75?keywords=Philips&qid=1701064584&sr=8-75
"Philips Sonicare Genuine SimplyClean Replacement Toothbrush Heads, 5 Brush Heads, White, HX6015/03",33,4.7 out of 5 stars,"14,852",https://www.amazon.com/Philips-Sonicare-Replacement-Toothbrush-HX6015/dp/B00OELU6B4/ref=sr_1_76?keywords=Philips&qid=1701064584&sr=8-76
"Philips Sonicare ExpertClean 7500, Rechargeable Electric Power Toothbrush, Black, HX9690/05",119,4.6 out of 5 stars,"10,109",https://www.amazon.com/Philips-Sonicare-ExpertClean-Rechargeable-HX9690/dp/B07TGQP8G1/ref=sr_1_77?keywords=Philips&qid=1701064584&sr=8-77
PHILIPS H9505 Hybrid Active Noise Canceling (ANC) Over Ear Wireless Bluetooth Pro-Performance Headphones with Multipoint Bluetooth Connection,88,3.6 out of 5 stars,593,https://www.amazon.com/Philips-H9505-Canceling-Pro-Performance-Headphones/dp/B0931YVR2K/ref=sr_1_78?keywords=Philips&qid=1701064584&sr=8-78
